"coachID","year","tmID","lgID","won","lost"
"biancal01","1974","VIR","ABA","15","69"
"brownhu01","1974","KEN","ABA","58","26"
"brownla01","1974","DNA","ABA","65","19"
"buckwbu01","1974","UTS","ABA","24","32"
"costela01","1974","MIL","NBA","38","44"
"eganjo01","1974","HOU","NBA","41","41"
"fitchbi01","1974","CLE","NBA","40","42"
"fitzsco01","1974","ATL","NBA","31","51"
"grozaal01","1974","SDA","ABA","15","23"
"heinsto01","1974","BOS","NBA","60","22"
"holzmre01","1974","NYK","NBA","40","42"
"johnsph01","1974","KCO","NBA","44","38"
"joneskc01","1974","WSB","NBA","60","22"
"leonasl01","1974","INA","ABA","45","39"
"loughke01","1974","NYA","ABA","58","26"
"mackibo01","1974","SSL","ABA","32","52"
"maclejo01","1974","PHO","NBA","32","50"
"mottadi01","1974","CHI","NBA","47","35"
"mullajo01","1974","MMS","ABA","27","57"
"nissato01","1974","SAA","ABA","18","10"
"nissato01","1974","UTS","ABA","14","14"
"ramsaja01","1974","BUF","NBA","49","33"
"robersc01","1974","NOJ","NBA","1","14"
"russebi01","1974","SEA","NBA","43","39"
"scottra01","1974","DET","NBA","40","42"
"sharmbi01","1974","LAL","NBA","30","52"
"shiplbe01","1974","SDA","ABA","16","30"
"shuege01","1974","PHI","NBA","34","48"
"vanbrbu01","1974","NOJ","NBA","22","44"
"wilkele01","1974","POR","NBA","38","44"
"ankerja01","1975","VIR","ABA","1","1"
"attleal01","1975","GSW","NBA","59","23"
"bassbo01","1975","SAA","ABA","50","34"
"beatyze01","1975","VIR","ABA","9","33"
"biancal01","1975","VIR","ABA","1","6"
"brownhe01","1975","DET","NBA","19","21"
"brownhu01","1975","KEN","ABA","46","38"
"brownla01","1975","DNA","ABA","60","24"
"calvima01","1975","VIR","ABA","0","6"
"costela01","1975","MIL","NBA","38","44"
"eganjo01","1975","HOU","NBA","40","42"
"fitchbi01","1975","CLE","NBA","49","33"
"fitzsco01","1975","ATL","NBA","28","46"
"heinsto01","1975","BOS","NBA","54","28"
"holzmre01","1975","NYK","NBA","38","44"
"johnsph01","1975","KCK","NBA","31","51"
"joneskc01","1975","WSB","NBA","48","34"
"leonasl01","1975","INA","ABA","39","45"
"loughke01","1975","NYA","ABA","55","29"
"maclejo01","1975","PHO","NBA","42","40"
"mottadi01","1975","CHI","NBA","24","58"
"mullajo01","1975","SSL","ABA","15","22"
"mussebi01","1975","SDS","ABA","3","8"
"mussebi01","1975","VIR","ABA","4","22"
"nissato01","1975","UTS","ABA","4","12"
"ramsaja01","1975","BUF","NBA","46","36"
"russebi01","1975","SEA","NBA","43","39"
"scottra01","1975","DET","NBA","17","25"
"sharmbi01","1975","LAL","NBA","40","42"
"shuege01","1975","PHI","NBA","46","36"
"thornro01","1975","SSL","ABA","20","27"
"tormobu01","1975","ATL","NBA","1","7"
"vanbrbu01","1975","NOJ","NBA","38","44"
"wilkele01","1975","POR","NBA","37","45"
"attleal01","1976","GSW","NBA","46","36"
"badgeed01","1976","CHI","NBA","44","38"
"bayloel01","1976","NOJ","NBA","21","35"
"brownhe01","1976","DET","NBA","44","38"
"brownhu01","1976","ATL","NBA","31","51"
"brownla01","1976","DEN","NBA","50","32"
"costela01","1976","MIL","NBA","3","15"
"fitchbi01","1976","CLE","NBA","43","39"
"heinsto01","1976","BOS","NBA","44","38"
"holzmre01","1976","NYK","NBA","40","42"
"johnsph01","1976","KCK","NBA","40","42"
"leonasl01","1976","IND","NBA","36","46"
"locketa01","1976","BUF","NBA","16","30"
"loughke01","1976","NYN","NBA","22","60"
"mackibo01","1976","BUF","NBA","3","4"
"maclejo01","1976","PHO","NBA","34","48"
"moedo01","1976","SAS","NBA","44","38"
"mottadi01","1976","WSB","NBA","48","34"
"mullajo01","1976","BUF","NBA","11","18"
"nelsodo01","1976","MIL","NBA","27","37"
"nissato01","1976","HOU","NBA","49","33"
"ramsaja01","1976","POR","NBA","49","33"
"russebi01","1976","SEA","NBA","40","42"
"shuege01","1976","PHI","NBA","50","32"
"vanbrbu01","1976","NOJ","NBA","14","12"
"westje01","1976","LAL","NBA","53","29"
"attleal01","1977","GSW","NBA","43","39"
"badgeed01","1977","CHI","NBA","40","42"
"bayloel01","1977","NOJ","NBA","39","43"
"brownhe01","1977","DET","NBA","9","15"
"brownhu01","1977","ATL","NBA","41","41"
"brownla01","1977","DEN","NBA","48","34"
"cunnibi01","1977","PHI","NBA","53","23"
"fitchbi01","1977","CLE","NBA","43","39"
"fitzsco01","1977","BUF","NBA","27","55"
"heinsto01","1977","BOS","NBA","11","23"
"hopkibo01","1977","SEA","NBA","5","17"
"johnsph01","1977","KCK","NBA","13","24"
"kauffbo01","1977","DET","NBA","29","29"
"leonasl01","1977","IND","NBA","31","51"
"loughke01","1977","NJN","NBA","24","58"
"maclejo01","1977","PHO","NBA","49","33"
"moedo01","1977","SAS","NBA","52","30"
"mottadi01","1977","WSB","NBA","44","38"
"nelsodo01","1977","MIL","NBA","44","38"
"nissato01","1977","HOU","NBA","28","54"
"ramsaja01","1977","POR","NBA","58","24"
"reedwi01","1977","NYK","NBA","43","39"
"sandeto01","1977","BOS","NBA","21","27"
"shuege01","1977","PHI","NBA","2","4"
"stavela01","1977","KCK","NBA","18","27"
"westje01","1977","LAL","NBA","45","37"
"wilkele01","1977","SEA","NBA","42","18"
"attleal01","1978","GSW","NBA","38","44"
